序號,管理委員會,建築物地址
1102,光明無限社區管理委員會,中壢區光明里光輝街26號
1103,星文華廈管理負責人,中壢區百韜一街26號
1104,艷陽財經大樓管理委員會,中壢區新興路102巷11號
1105,世紀星鑽管理委員會,中壢區新興路86之5號
1106,聯上3Q社區管理委員會,中壢區領航北路二段226號
1107,環宇大樓管理委員會,中壢區大同路31號
1108,鉑樂社區管理委員會,中壢區山東里9鄰山東一路35號
1109,富比仕8社區管理委員會,中壢區民權路5段23號
1110,恆靚公寓大廈管理委員會,中壢區龍川三街63號
1111,龍岡京鑽管理負責人,中壢區龍岡路三段668巷25號
1112,得一居管理負責人,中壢區龍東路559號
1113,鼎藏青境社區管理委員會,中壢區龍慈路93號
1114,金園大廈管理委員會,中壢區成章一街10之1號
1115,大睦微風社區管理委員會,中壢區青埔四街189號
1116,立冠敦皇9中壢社區管理委員會,中壢區福安二街96號
1117,麗晶大樓公寓大廈管理委員會,中壢區中豐路36號
1118,之春社區管理委員會,中壢區內厝五路58號-70號
1119,宜雄大名鑄社區管理委員會,中壢區文智路52號
1120,松桐匯社區管理委員會,中壢區高鐵南路五段888號
1121,站前首席社區管理委員會,中壢區青峰路2段57號
1122,威均晶鑽社區管理委員會,中壢區高鐵南路二段333號
1123,冠順社區管理負責人,中壢區領航北路二段229號
1124,聯上青塘吾疆社區管理委員會,中壢區洽溪路117號
1125,大華宮廷社區管理委員會,中壢區福德路96號
1126,元智大學教授宿舍管理負責人,中壢區遠東路81巷15號
1127,大睦仁愛匯社區管理委員會,中壢區領航南路75號
1128,敦陽富御社區管理委員會,中壢區永清街281巷36號
1129,惠我堂華美居管理負責人,中壢區青松街171號
1130,歡天喜地社區管理負責人,中壢區仁美里中山東路三段115巷64號
1131,豐盈畔社區管理委員會,中壢區龍慈里龍和二街370號
1132,帝堡莊公寓大廈管理委員會,中壢區大莊路96巷51弄51號
1133,有境社區管理委員會,中壢區領航南路四段178號
1134,金龍大第社區管理委員會,中壢區龍岡路二段411號
1135,文明安社區管理負責人,中壢區文化里吉林路129巷20號
1136,純品社區管理委員會,中壢區龍德里7鄰龍仁路60號
1137,百川豐硯社區管理委員會,中壢區中興里榮安八街86號
1138,傳世代社區管理委員會,中壢區德義里中山東路一段15號
1139,良茂詠恆詠美館社區管理委員會,中壢區領航南路二段368號
1140,貴族新第社區管理委員會,中壢區天祥二街9號
1141,富有社區管理負責人,中壢區南園二路332號
1142,柏宣ViVa社區管理委員會,中壢區文化里吉利七街56號
1143,靜秧社區管理委員會,中壢區松義三街33號
1144,櫻花緻社區管理委員會,中壢區青溪路一段27號
1145,鼎藏青庭社區管理委員會,中壢區後寮里中山東路三段118號等
1146,璞園那山階社區管理委員會,中壢區領航南路一段177號
1147,禾家社區管理委員會,中壢區圓光一路363號
1148,青之上河社區管理委員會,中壢區文發路7號
1149,紅不讓社區管理委員會,中壢區永明街25-39號
1150,誠佳品學社區管理委員會,中壢區民權路四段529號
1151,領航之星管理委員會,中壢區領航南路二段237號
1152,得意一生公寓大廈管理委員會,中壢區普忠里新中二街45-3號
1153,中原新世界公寓大廈管理委員會,中壢區普忠里新中二街10巷2號
1154,金陵世家社區管委會,中壢區新興里自忠街107號
1155,公園天廈管理委員會,中壢區正光路321號
1156,皇家特區管理負責人,中壢區三和一街2號
1157,白馬京城社區管理委員會,中壢區德義里永康三街43號
1158,天生贏家社區管理委員會,中壢區普仁里協同街46號
1159,天晴社區管理委員會,中壢區環西路二段25巷23號
1160,禾逸管理負責人,中壢區山東路938巷70號
1161,帝王新廈管理委員會,中壢區環北路107號
1162,詠陽河畔公寓大廈管理委員會,中壢區新興里金陵路259巷9號
1163,復華安康社區管理委員會,中壢區復華里復華街107巷12號
1164,故鄉儷景管理委員會,中壢區福壽九街9-1號
1165,RichOne2社區管理委員會,中壢區青埔二街137號
1166,資訊天廈管理委員會,中壢區中央里復興路71號
1167,君悅晶品社區管理委員會,中壢區和平里文成南街13巷13號
1168,萬源發L棟管理委員會,中壢區自信里莊敬路844號
1169,書香名門社區管理委員會,中壢區復華六街65號
1170,總督府第三期管理委員會,中壢區自治里21鄰陸光二街110號
1171,白金家園管理委員會,中壢區明德里吉長街21號
1172,凱田樂慕社區管理委員會,中壢區月山路282號
1173,公爵社區管理負責人,中壢區南園二路一巷12弄2號
1174,品信義社區管理委員會,中壢區信義里嘉興街23號
1175,松義美學社區管理委員會,中壢區松義路158號
1176,豐湛5社區管理委員會,中壢區松義二街71號
1177,振芳中壢工廠管理負責人,中壢區吉林路19號
1178,福源名第社區管理委員會,中壢區福星七街29號
1179,名翔大樓管理委員會,中壢區中央西路二段259號
1180,墅語苑社區管理委員會,中壢區月眉路三段162巷36弄9號
1181,甜蜜新家管委會,中壢區長樂四街27號
1182,柏宣VIVA2社區管理委員會,中壢區文化里吉利一街31-35號等
1183,林立寬和社區管理委員會,中壢區領航南路4段127號
1184,恩至大時代社區管理委員會,中壢區普慶里中山東路二段323巷19弄9號
1185,合悅齊社區管理委員會,中壢區復興里復華十一街88號
1186,中壢復興大樓管理委員會,中壢區復興路67號
1187,環中公寓大廈管理負責人,中壢區環中東路二段516號
1188,大清華疆社區管理委員會,中壢區中園路2段303巷65弄12號
1189,Onelife apartmen社區管理負責人,中壢區延平路90巷59號
1190,龍騰MRT社區管理委員會,中壢區中美路二段103號
1191,世界極社區管理委員會,中壢區高鐵北路二段76號
1192,映禾大墅社區管理委員會,中壢區內定16街288巷16號之3
1193,和洲好漾社區管理委員會,中壢區過嶺里14鄰松義二街28號
1194,潤隆國家大院管理委員會,中壢區青峰路一段71號
1195,翰林御園管理委員會,中壢區白馬莊117號
1196,丰城秀景社區管理委員會,中壢區青松街191號
1197,樺龍潮+社區管理委員會,中壢區高鐵南路三段738號
1198,藝術芳庭A棟管理委員會,中壢區福星三街43號
1199,美壢莊園社區管理委員會,中壢區龍川街8巷6~8號
1200,國王山莊社區管理委員會,中壢區山佳二路237號
1201,雅緻園財座管理委員會,中壢區利民路25之1號
1202,森巴黎11期管理委員會,中壢區自忠街63巷2號
1203,台達電子工業股份有限公司中壢區第五廠管理負責人,中壢區東園路16號
1204,樂森活社區管理委員會,中壢區執信一街58號
1205,新光中壢大樓公寓大廈管理負責人,中壢區環西路121號
1206,富第華夏管理委員會,中壢區幸福街91號
1207,謙成富玉社區管理委員會,中壢區月眉路565巷10弄13號
1208,鉅陞永麗花園社區管理委員會,中壢區青境路6號
1209,京美賦玉社區管理委員會,中壢區成章三街128號
1210,鼎藏青昕社區管理委員會,中壢區龍慈路42號
1211,深耕15期社區管理委員會,中壢區榮民路408號
1212,青山硯管理委員會,中壢區水青路500號
1213,?源心琚社區管理委員會,中壢區三芝路239巷50弄20號
1214,合雄天好韻社區管理委員會,中壢區永順街11號
1215,威均京悅社區管理委員會,中壢區青埔二街119號
1216,FUNHOUSE方好社區管理委員會,中壢區永順一街19號
1217,新成章社區管理委員會,中壢區成章三街148號
1218,威均建設機構大樓管理負責人,中壢區洽溪路57號
1219,三秀玥景社區管理委員會,中壢區文忠二路35巷26號
1220,健康城市社區管理委員會,中壢區榮安一街393巷9號
1221,醴寓社區管理委員會,中壢區福興一街88號
1222,策略中壢廠管理負責人,中壢區東園路21號
